CG,CD,W_pay,CD_interp,W_pay_interp
-0.082332405,0.062754858,24.38068557,0.03009375,5
-0.074720119,0.0613005,24.14521657,0.031244647,6
-0.066508516,0.059803227,23.89296921,0.032395544,7
-0.058282793,0.058376729,23.64210047,0.033546441,8
-0.050044715,0.057012158,23.39265343,0.034697338,9
-0.04120276,0.055627528,23.12690176,0.035848235,10
-0.031755162,0.054231684,22.84518727,0.036999132,11
-0.021700059,0.052833966,22.54786929,0.038150029,12
-0.011030587,0.051468778,22.23518047,0.039300926,13
0.00024893,0.050114445,21.90770032,0.040451823,14
0.01274936,0.04878595,21.54842587,0.041602721,15
0.025854719,0.047442663,21.17582465,0.042753618,16
0.038993772,0.046268269,20.80636921,0.043904515,17
0.052154166,0.045200842,20.44036519,0.045055412,18
0.065337022,0.04424601,20.07773514,0.046206309,19
0.078542341,0.043403775,19.71843418,0.047357206,20
0.091763384,0.042640356,19.36259861,,
0.106362055,0.041926554,18.9741351,,
0.118264998,0.041411897,18.66080431,,
0.131538829,0.040913078,18.31493158,,
0.144822769,0.040464927,17.97248013,,
0.158120186,0.040084334,17.63331425,,
0.171426589,0.039748779,17.29750019,,
0.184738607,0.039441373,16.96507243,,
0.198057365,0.039167746,16.63595248,,
0.211381738,0.038922267,16.31011866,,
0.224708357,0.038688048,15.9876032,,
0.238037223,0.038465089,15.66835569,,
0.251370581,0.038264649,15.35227375,,
0.264708432,0.038086728,15.03931056,,
0.278049652,0.037925697,14.72944622,,
0.291393119,0.037775925,14.42266063,,
0.304743324,0.037659931,14.11880642,,
0.318094653,0.037549568,13.81796779,,
0.33145272,0.037472983,13.51997542,,
0.344805172,0.037368249,13.22506074,,
0.358176717,0.037359222,12.93263869,,
0.3715258,0.037237599,12.64357413,,
0.384898468,0.037234201,12.35682818,,
0.398262152,0.037185766,12.07306261,,
0.411619096,0.037103551,11.79218439,,
0.424991764,0.037100153,11.5136842,,
0.438354325,0.037046088,11.23806282,,
0.451712392,0.036969503,10.96516189,,
0.465085061,0.036966106,10.69455685,,
0.478457729,0.036962708,10.42651059,,
0.491836013,0.036987459,10.16087601,,
0.512521958,0.037077915,9.755030819,,
0.525915967,0.037181484,9.495362819,,
0.53930099,0.037240014,9.238274092,,
0.552689382,0.037315433,8.983492542,,
0.566082267,0.037413372,8.730966195,,
0.579461675,0.037443753,8.480999487,,
0.592850067,0.037519173,8.233140101,,
0.606229475,0.037549554,7.987689847,,
0.619602143,0.037546156,7.74457328,,
0.632974812,0.037542759,7.503636495,,
0.64635085,0.037556251,7.264790409,,
0.659137009,0.037659973,7.038462357,,
